iteration,timestamp,current_simulations,replay_buffer_size,training_mode,opponent_games,self_play_games,initial_loss,final_loss,loss_reduction,loss_reduction_pct
12,2025-12-04T16:41:34.504312,100,2923, heuristic,50,0,0.8362985253334045,0.8257321119308472,0.010566413402557373,1.2634738771475047
13,2025-12-04T16:42:18.703258,100,3166, heuristic,50,0,0.8108032941818237,0.833608090877533,-0.02280479669570923,-2.8126176668684355
14,2025-12-04T16:43:03.465884,100,3411, heuristic,50,0,0.8234410881996155,0.9615116119384766,-0.13807052373886108,-16.76750476961754
15,2025-12-04T16:43:49.456127,100,3654, heuristic,50,0,0.9186158776283264,0.8965734839439392,0.022042393684387207,2.399522392460279
16,2025-12-04T16:44:56.189379,100,3890, heuristic,50,0,0.8336558938026428,0.8558656573295593,-0.022209763526916504,-2.6641404075737727
17,2025-12-04T16:45:41.189813,100,4133, heuristic,50,0,0.9268660545349121,0.9071646332740784,0.01970142126083374,2.1255952965846427
18,2025-12-04T16:46:26.998971,100,4376, heuristic,50,0,0.9561086297035217,0.9636242985725403,-0.007515668869018555,-0.7860685109963997
19,2025-12-04T16:47:09.344061,100,4620, heuristic,50,0,0.9460305571556091,0.9382777810096741,0.007752776145935059,0.819505890934962
20,2025-12-04T16:47:56.173854,100,4866, heuristic,50,0,0.9622067213058472,0.9133656024932861,0.048841118812561035,5.075948622171014
21,2025-12-04T16:49:01.941929,100,5112, heuristic,50,0,0.9863919615745544,0.8912801146507263,0.09511184692382812,9.642398826122154
22,2025-12-04T16:49:46.687510,100,5352, heuristic,50,0,0.8885326385498047,0.9427934885025024,-0.054260849952697754,-6.106793110184245
23,2025-12-04T16:50:34.483853,100,5600, heuristic,50,0,0.9780803918838501,0.9392958283424377,0.038784563541412354,3.965375838555624
24,2025-12-04T16:51:17.255648,100,5836, heuristic,50,0,0.9348242878913879,0.9862874150276184,-0.05146312713623047,-5.505112329966515
25,2025-12-04T16:52:05.507098,100,6088, heuristic,50,0,0.9821358323097229,0.9509345293045044,0.031201303005218506,3.176882665185051
26,2025-12-04T16:53:05.219101,100,6323, heuristic,50,0,0.9440094232559204,0.9191309213638306,0.024878501892089844,2.6354082151302105
27,2025-12-04T16:53:51.958020,100,6568, heuristic,50,0,0.9763950109481812,0.9112643599510193,0.06513065099716187,6.670522715382704
28,2025-12-04T16:54:35.957194,100,6808, heuristic,50,0,0.9787577390670776,0.9319823980331421,0.04677534103393555,4.7790519724033445
29,2025-12-04T16:55:20.445333,100,7053, heuristic,50,0,0.9416922330856323,0.9454014301300049,-0.0037091970443725586,-0.3938863371760723
30,2025-12-04T16:56:08.693489,100,7302, heuristic,50,0,0.9702244997024536,0.8960961699485779,0.07412832975387573,7.64032755064516
31,2025-12-04T16:57:16.097695,100,7545, heuristic,50,0,0.9428216218948364,0.9975391626358032,-0.0547175407409668,-5.803594176276757
32,2025-12-04T16:58:04.156476,100,7792, heuristic,50,0,0.9573187828063965,0.9987605810165405,-0.04144179821014404,-4.328944438827023
33,2025-12-04T16:58:46.521560,100,8034, heuristic,50,0,1.0267066955566406,0.9521710276603699,0.07453566789627075,7.259684603094986
34,2025-12-04T16:59:32.105472,100,8282, heuristic,50,0,1.0554392337799072,1.0104867219924927,0.04495251178741455,4.259128365583251
35,2025-12-04T17:00:17.237066,100,8529, heuristic,50,0,0.9205526113510132,0.9507325887680054,-0.030179977416992188,-3.2784630715130687
36,2025-12-04T17:01:22.442871,100,8764, heuristic,50,0,1.0156313180923462,0.984931230545044,0.030700087547302246,3.0227590465569754
37,2025-12-04T17:02:09.650645,100,9009, heuristic,50,0,1.075206995010376,0.9907698631286621,0.08443713188171387,7.853104776434145
38,2025-12-04T17:02:55.428987,100,9251, heuristic,50,0,0.9715809226036072,1.0357979536056519,-0.06421703100204468,-6.609540132792873
39,2025-12-04T17:03:40.984778,100,9495, heuristic,50,0,0.9569342732429504,1.0053075551986694,-0.048373281955718994,-5.055026589421548
40,2025-12-04T17:04:25.343807,100,9734, heuristic,50,0,1.0692986249923706,0.9812407493591309,0.08805787563323975,8.235106038209675
41,2025-12-04T17:05:29.262411,100,9968, heuristic,50,0,1.049560308456421,1.0293711423873901,0.02018916606903076,1.923583228744882
42,2025-12-04T17:06:12.600904,100,10207, heuristic,50,0,1.0016825199127197,1.0074869394302368,-0.00580441951751709,-0.5794669870073055
43,2025-12-04T17:06:57.407738,100,10447, heuristic,50,0,1.0619398355484009,0.9800182580947876,0.08192157745361328,7.71433321467857
44,2025-12-04T17:07:41.551338,100,10686, heuristic,50,0,0.9740579724311829,1.0284491777420044,-0.05439120531082153,-5.583980302020912
45,2025-12-04T17:08:27.247541,100,10926, heuristic,50,0,1.0015028715133667,1.0140544176101685,-0.012551546096801758,-1.2532711042390894
46,2025-12-04T17:09:34.416143,100,11174, heuristic,50,0,0.996039628982544,1.027469515800476,-0.03142988681793213,-3.155485575412076
47,2025-12-04T17:10:20.446474,100,11419, heuristic,50,0,0.9218174815177917,0.9865274429321289,-0.06470996141433716,-7.019823632308519
48,2025-12-04T17:11:02.606757,100,11663, heuristic,50,0,1.085593819618225,1.0584416389465332,0.027152180671691895,2.5011362611884254
49,2025-12-04T17:11:48.689091,100,11906, heuristic,50,0,1.1154879331588745,1.0063751935958862,0.10911273956298828,9.7816154096799
50,2025-12-04T17:12:32.720820,100,12149, heuristic,50,0,1.046209454536438,1.0138990879058838,0.0323103666305542,3.0883267676901762
51,2025-12-04T17:13:40.839255,100,12390, heuristic,50,0,1.0586657524108887,1.0117663145065308,0.04689943790435791,4.430051486746813
52,2025-12-04T17:14:27.686374,100,12635, heuristic,50,0,1.107774257659912,1.1045411825180054,0.0032330751419067383,0.29185324713505806
53,2025-12-04T17:15:11.006167,100,12874, heuristic,50,0,1.0513091087341309,1.0182737112045288,0.03303539752960205,3.1423105968690397
54,2025-12-04T17:15:57.637124,100,13116, heuristic,50,0,0.944942831993103,1.008178949356079,-0.06323611736297607,-6.692057468661513
55,2025-12-04T17:16:40.610604,100,13356, heuristic,50,0,1.0178616046905518,1.1011958122253418,-0.08333420753479004,-8.187184500404172
56,2025-12-04T17:17:45.508057,100,13602, heuristic,50,0,1.051055669784546,1.0575494766235352,-0.006493806838989258,-0.6178366213770972
57,2025-12-04T17:18:28.357233,100,13841, heuristic,50,0,1.0546455383300781,1.0051411390304565,0.04950439929962158,4.693937204532877
58,2025-12-04T17:19:10.518034,100,14076, heuristic,50,0,1.1027328968048096,1.0166834592819214,0.08604943752288818,7.8032892436797825
59,2025-12-04T17:19:57.106858,100,14317, heuristic,50,0,0.9769935607910156,0.962956964969635,0.014036595821380615,1.4367132379067054
60,2025-12-04T17:20:41.574803,100,14550, heuristic,50,0,1.0171871185302734,1.0524564981460571,-0.03526937961578369,-3.467344304039573
61,2025-12-04T17:21:46.995740,100,14793, heuristic,50,0,1.0470401048660278,1.046953558921814,8.654594421386719e-05,0.008265771655894786
62,2025-12-04T17:22:29.855318,100,15026, heuristic,50,0,1.048700213432312,1.0260869264602661,0.0226132869720459,2.1563156641338344
63,2025-12-04T17:23:12.778309,100,15272, heuristic,50,0,1.0330263376235962,0.979990541934967,0.05303579568862915,5.1340216369153024
64,2025-12-04T17:23:59.412478,100,15519, heuristic,50,0,1.0774264335632324,1.0036035776138306,0.07382285594940186,6.8517769426964135
65,2025-12-04T17:24:43.615571,100,15759, heuristic,50,0,1.029219627380371,1.02378249168396,0.005437135696411133,0.5282774979962287
66,2025-12-04T17:25:48.848709,100,15994, heuristic,50,0,1.026998519897461,1.0201398134231567,0.006858706474304199,0.6678399570613789
67,2025-12-04T17:26:36.127073,100,16239, heuristic,50,0,1.0429190397262573,0.9894679188728333,0.05345112085342407,5.125145751241993
68,2025-12-04T17:27:20.961496,100,16486, heuristic,50,0,1.0579591989517212,1.0835565328598022,-0.025597333908081055,-2.419501048192045
69,2025-12-04T17:28:08.963960,100,16732, heuristic,50,0,1.0326642990112305,1.0155138969421387,0.017150402069091797,1.6607916130646907
70,2025-12-04T17:28:50.506947,100,16974, heuristic,50,0,1.049783706665039,1.0824705362319946,-0.032686829566955566,-3.1136727841581138
71,2025-12-04T17:29:54.678467,100,17214, heuristic,50,0,1.0999835729599,1.0780830383300781,0.021900534629821777,1.9909874263749725
72,2025-12-04T17:30:38.996139,100,17457, heuristic,50,0,1.04570472240448,0.9938241839408875,0.05188053846359253,4.961299050490954
73,2025-12-04T17:31:22.350816,100,17698, heuristic,50,0,1.0420026779174805,1.064497709274292,-0.022495031356811523,-2.1588266358172428
74,2025-12-04T17:32:09.799969,100,17944, heuristic,50,0,1.1090171337127686,0.9976254105567932,0.11139172315597534,10.044184149171622
75,2025-12-04T17:32:56.199845,100,18191, heuristic,50,0,1.05711829662323,1.0018787384033203,0.05523955821990967,5.225485018693015
76,2025-12-04T17:34:04.328117,100,18444, heuristic,50,0,1.0664647817611694,1.0310767889022827,0.03538799285888672,3.318252366519471
77,2025-12-04T17:34:47.036015,100,18690, heuristic,50,0,1.0946125984191895,1.0251020193099976,0.0695105791091919,6.350244754132853
78,2025-12-04T17:35:29.005765,100,18922, heuristic,50,0,1.03936767578125,1.152095079421997,-0.11272740364074707,-10.845767697750896
79,2025-12-04T17:36:14.086872,100,19173, heuristic,50,0,1.1343964338302612,1.0558624267578125,0.07853400707244873,6.922977252959145
80,2025-12-04T17:36:58.462362,100,19414, heuristic,50,0,1.0237399339675903,1.105313777923584,-0.08157384395599365,-7.968219393361686
81,2025-12-04T17:38:03.263282,100,19655, heuristic,50,0,1.061484694480896,1.0360602140426636,0.025424480438232422,2.3951810676522194
82,2025-12-04T17:38:48.470161,100,19892, heuristic,50,0,1.1122517585754395,1.0874353647232056,0.024816393852233887,2.23118495079014
83,2025-12-04T17:39:32.731507,100,20133, heuristic,50,0,1.0224696397781372,1.0887441635131836,-0.06627452373504639,-6.481808472027308
84,2025-12-04T17:40:18.058023,100,20371, heuristic,50,0,1.0758202075958252,0.9982145428657532,0.07760566473007202,7.2136277216339195
85,2025-12-04T17:40:59.701990,100,20612, heuristic,50,0,1.038791537284851,1.080381989479065,-0.04159045219421387,-4.003734214366168
86,2025-12-04T17:42:05.553260,100,20860, heuristic,50,0,1.0198224782943726,1.0380573272705078,-0.018234848976135254,-1.7880414841054082
87,2025-12-04T17:42:51.667540,100,21111, heuristic,50,0,1.0791743993759155,1.0878868103027344,-0.008712410926818848,-0.8073218686300581
88,2025-12-04T17:43:35.964354,100,21351, heuristic,50,0,1.0998542308807373,1.0470026731491089,0.05285155773162842,4.805323855444565
89,2025-12-04T17:44:22.791228,100,21592, heuristic,50,0,1.0273792743682861,1.0954056978225708,-0.06802642345428467,-6.621354464845777
90,2025-12-04T17:45:08.462368,100,21842, heuristic,50,0,1.0721392631530762,1.0508737564086914,0.021265506744384766,1.9834649728100249
91,2025-12-04T17:46:13.985639,100,22087, heuristic,50,0,1.0186911821365356,1.1093037128448486,-0.09061253070831299,-8.894995097362896
92,2025-12-04T17:46:55.779365,100,22329, heuristic,50,0,1.0459206104278564,1.0316636562347412,0.014256954193115234,1.3631009897857467
93,2025-12-04T17:47:41.510246,100,22572, heuristic,50,0,1.1123590469360352,1.0479247570037842,0.06443428993225098,5.792580202384617
94,2025-12-04T17:48:24.602943,100,22813, heuristic,50,0,1.0703469514846802,1.0934202671051025,-0.023073315620422363,-2.155685648323408
95,2025-12-04T17:49:09.032768,100,23054, heuristic,50,0,1.0542793273925781,1.0447419881820679,0.009537339210510254,0.9046311506550929
96,2025-12-04T17:50:15.657188,100,23292, heuristic,50,0,1.0709712505340576,1.0963447093963623,-0.025373458862304688,-2.3692007464861256
97,2025-12-04T17:51:00.863006,100,23535, heuristic,50,0,1.0761923789978027,1.0554505586624146,0.020741820335388184,1.9273338800915756
98,2025-12-04T17:51:46.721277,100,23778, heuristic,50,0,1.0920488834381104,1.06098473072052,0.031064152717590332,2.844575292251634
99,2025-12-04T17:52:30.948771,100,24017, heuristic,50,0,1.0522726774215698,1.1362500190734863,-0.0839773416519165,-7.98056848322717
100,2025-12-04T17:53:14.563471,100,24267, heuristic,50,0,1.0933680534362793,1.0947927236557007,-0.0014246702194213867,-0.13030106513025308
101,2025-12-04T17:54:21.580487,100,24504, heuristic,50,0,1.0567007064819336,1.0799957513809204,-0.023295044898986816,-2.2045073648661453
102,2025-12-04T17:55:07.032816,100,24747, heuristic,50,0,1.0811874866485596,1.008246660232544,0.07294082641601562,6.746362431747702
103,2025-12-04T17:55:52.537235,100,24992, heuristic,50,0,1.0388096570968628,1.1361494064331055,-0.09733974933624268,-9.370316175946595
104,2025-12-04T17:56:38.632624,100,25234, heuristic,50,0,1.0765457153320312,1.0561858415603638,0.02035987377166748,1.8912224053010172
105,2025-12-04T17:57:24.011002,100,25485, heuristic,50,0,1.0981509685516357,1.0511595010757446,0.04699146747589111,4.279144564054678
106,2025-12-04T17:58:32.250459,100,25727, heuristic,50,0,1.0766279697418213,0.9907788634300232,0.0858491063117981,7.973887798250772
107,2025-12-04T17:59:14.105508,100,25969, heuristic,50,0,0.9988389611244202,1.0905214548110962,-0.09168249368667603,-9.178906435874962
108,2025-12-04T17:59:59.645503,100,26207, heuristic,50,0,1.0474127531051636,1.0748265981674194,-0.02741384506225586,-2.617291510055103
109,2025-12-04T18:00:43.766692,100,26445, heuristic,50,0,1.0667568445205688,1.002036690711975,0.06472015380859375,6.067001504703805
110,2025-12-04T18:01:27.608734,100,26688, heuristic,50,0,1.0883623361587524,1.0819809436798096,0.006381392478942871,0.5863297788735735
111,2025-12-04T18:02:37.433457,100,26934, heuristic,50,0,1.072873830795288,1.0231882333755493,0.04968559741973877,4.631075527577029
112,2025-12-04T18:03:20.327330,100,27169, heuristic,50,0,1.130002498626709,1.0268466472625732,0.10315585136413574,9.128816218504026
113,2025-12-04T18:04:05.762990,100,27413, heuristic,50,0,1.0603179931640625,1.077118992805481,-0.016800999641418457,-1.5845246190044466
114,2025-12-04T18:04:50.616061,100,27659, heuristic,50,0,1.0884311199188232,1.1117205619812012,-0.02328944206237793,-2.139725852759051
115,2025-12-04T18:05:36.783374,100,27904, heuristic,50,0,1.0760606527328491,1.0817981958389282,-0.0057375431060791016,-0.5331988574721677
116,2025-12-04T18:06:41.045148,100,28140, heuristic,50,0,1.0682364702224731,1.0866984128952026,-0.018461942672729492,-1.7282636557881765
117,2025-12-04T18:07:26.107925,100,28383, heuristic,50,0,1.128710389137268,1.064247727394104,0.06446266174316406,5.7111782051050515
118,2025-12-04T18:08:12.020534,100,28620, heuristic,50,0,1.1803209781646729,1.1111304759979248,0.06919050216674805,5.8620073223077895
119,2025-12-04T18:08:55.993510,100,28857, heuristic,50,0,1.116611361503601,1.0843013525009155,0.03231000900268555,2.893576952251112
120,2025-12-04T18:09:40.672054,100,29109, heuristic,50,0,1.0591572523117065,1.099825382232666,-0.04066812992095947,-3.8396687396699214
121,2025-12-04T18:10:45.122469,100,29357, heuristic,50,0,1.1055173873901367,1.0765647888183594,0.028952598571777344,2.6189184269754033
122,2025-12-04T18:11:30.073683,100,29599, heuristic,50,0,1.109635829925537,1.0253826379776,0.08425319194793701,7.592868730058121
123,2025-12-04T18:12:14.564897,100,29840, heuristic,50,0,1.1242151260375977,1.1020148992538452,0.02220022678375244,1.9747311941976118
124,2025-12-04T18:13:00.143930,100,30077, heuristic,50,0,1.1080272197723389,1.0884929895401,0.01953423023223877,1.7629738587335766
125,2025-12-04T18:13:45.866771,100,30317, heuristic,50,0,1.0938572883605957,1.0572658777236938,0.036591410636901855,3.3451722657297234
126,2025-12-04T18:14:53.375288,100,30557, heuristic,50,0,1.0736157894134521,1.00395929813385,0.06965649127960205,6.488027837002792
